region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases,prob_control
Rochdale,28 (16 -- 48),28,30,10,16,23,26,30,35,48,New confirmed cases by infection date,Likely decreasing,0.86
Cheshire East,25 (13 -- 47),25,27,11,13,19,23,27,32,47,New confirmed cases by infection date,Likely decreasing,0.82
Doncaster,25 (13 -- 43),25,26,9,13,20,23,27,31,43,New confirmed cases by infection date,Decreasing,0.97
South Lanarkshire,25 (11 -- 55),25,28,14,11,18,22,28,34,55,New confirmed cases by infection date,Likely decreasing,0.85
East Riding of Yorkshire,24 (14 -- 41),24,26,8,14,19,23,26,30,41,New confirmed cases by infection date,Likely decreasing,0.88
Newcastle upon Tyne,24 (11 -- 51),24,27,13,11,18,21,27,32,51,New confirmed cases by infection date,Likely decreasing,0.69
Wigan,24 (12 -- 48),24,27,12,12,18,22,27,32,48,New confirmed cases by infection date,Likely decreasing,0.93
Coventry,23 (13 -- 39),23,24,8,13,18,21,24,28,39,New confirmed cases by infection date,Decreasing,0.96
Ealing,23 (12 -- 41),23,24,9,12,18,21,25,29,41,New confirmed cases by infection date,Likely decreasing,0.91
Norfolk,23 (13 -- 41),23,25,8,13,19,21,25,29,41,New confirmed cases by infection date,Decreasing,0.98
Nottingham,23 (13 -- 39),23,24,8,13,19,22,25,29,39,New confirmed cases by infection date,Decreasing,0.99
Bolton,22 (12 -- 41),22,24,9,12,18,20,24,28,41,New confirmed cases by infection date,Decreasing,0.96
Newham,22 (12 -- 43),22,24,9,12,17,20,24,28,43,New confirmed cases by infection date,Likely decreasing,0.65
Buckinghamshire,21 (11 -- 37),21,22,8,11,16,19,23,26,37,New confirmed cases by infection date,Decreasing,0.97
Luton,21 (12 -- 35),21,22,7,12,17,20,23,26,35,New confirmed cases by infection date,Decreasing,0.96
Sefton,21 (7 -- 59),21,25,18,7,14,18,24,31,59,New confirmed cases by infection date,Likely decreasing,0.63
Gloucestershire,20 (11 -- 40),20,22,10,11,15,18,22,26,40,New confirmed cases by infection date,Likely decreasing,0.73
North Yorkshire,20 (10 -- 43),20,23,11,10,15,18,23,27,43,New confirmed cases by infection date,Likely decreasing,0.88
Sunderland,20 (9 -- 44),20,23,11,9,15,18,23,27,44,New confirmed cases by infection date,Likely decreasing,0.85
North Tyneside,19 (10 -- 34),19,20,7,10,15,17,21,24,34,New confirmed cases by infection date,Likely decreasing,0.84
Salford,19 (10 -- 38),19,21,9,10,15,17,21,25,38,New confirmed cases by infection date,Likely decreasing,0.91
Suffolk,19 (9 -- 35),19,20,8,9,14,17,21,25,35,New confirmed cases by infection date,Decreasing,0.96
West Sussex,19 (9 -- 39),19,21,9,9,14,17,22,26,39,New confirmed cases by infection date,Decreasing,0.98
Devon,18 (9 -- 37),18,20,10,9,14,16,20,23,37,New confirmed cases by infection date,Likely decreasing,0.76
Hillingdon,18 (9 -- 34),18,19,7,9,14,16,19,23,34,New confirmed cases by infection date,Likely decreasing,0.88
Liverpool,18 (7 -- 46),18,22,14,7,13,16,21,27,46,New confirmed cases by infection date,Likely decreasing,0.93
North Lincolnshire,18 (10 -- 33),18,19,7,10,14,17,20,23,33,New confirmed cases by infection date,Likely decreasing,0.61
Oldham,18 (8 -- 40),18,20,12,8,13,16,20,24,40,New confirmed cases by infection date,Likely decreasing,0.83
Stirling,18 (8 -- 37),18,20,11,8,13,16,20,24,37,New confirmed cases by infection date,Likely decreasing,0.62
Walsall,18 (10 -- 35),18,20,7,10,14,17,20,24,35,New confirmed cases by infection date,Decreasing,0.95
Warrington,18 (8 -- 47),18,22,14,8,13,16,21,26,47,New confirmed cases by infection date,Likely decreasing,0.64
Belfast,17 (6 -- 41),17,20,12,6,12,15,19,24,41,New confirmed cases by infection date,Likely decreasing,0.9
Cheshire West and Chester,17 (8 -- 36),17,19,9,8,13,16,19,23,36,New confirmed cases by infection date,Likely decreasing,0.91
Derby,17 (8 -- 36),17,19,9,8,12,15,19,23,36,New confirmed cases by infection date,Likely decreasing,0.91
Sandwell,17 (8 -- 32),17,18,8,8,13,15,19,22,32,New confirmed cases by infection date,Decreasing,0.99
Barnet,16 (7 -- 30),16,17,7,7,12,14,17,20,30,New confirmed cases by infection date,Likely decreasing,0.91
"Bristol, City of",16 (8 -- 31),16,17,7,8,12,14,17,21,31,New confirmed cases by infection date,Decreasing,0.96
City of Edinburgh,16 (5 -- 42),16,19,13,5,11,14,19,25,42,New confirmed cases by infection date,Decreasing,0.96
Dundee City,16 (5 -- 57),16,22,20,5,10,14,19,26,57,New confirmed cases by infection date,Likely increasing,0.35
Fife,16 (5 -- 37),16,18,10,5,10,13,18,23,37,New confirmed cases by infection date,Likely decreasing,0.85
Harrow,16 (8 -- 30),16,17,7,8,12,14,17,20,30,New confirmed cases by infection date,Likely decreasing,0.79
Hounslow,16 (8 -- 31),16,17,7,8,12,15,18,21,31,New confirmed cases by infection date,Likely decreasing,0.91
North East Lincolnshire,16 (8 -- 30),16,17,7,8,12,14,18,21,30,New confirmed cases by infection date,Likely decreasing,0.85
Somerset,16 (9 -- 29),16,17,6,9,13,15,18,21,29,New confirmed cases by infection date,Decreasing,0.97
Stockton-on-Tees,16 (9 -- 31),16,18,7,9,13,15,18,21,31,New confirmed cases by infection date,Likely decreasing,0.89
"Armagh City, Banbridge and Craigavon",15 (6 -- 37),15,18,11,6,11,13,17,21,37,New confirmed cases by infection date,Likely decreasing,0.81
Caerphilly,15 (6 -- 34),15,17,9,6,11,13,17,20,34,New confirmed cases by infection date,Likely decreasing,0.68
Dudley,15 (7 -- 29),15,16,6,7,11,14,17,20,29,New confirmed cases by infection date,Decreasing,0.99
Northumberland,15 (9 -- 26),15,16,5,9,12,14,17,19,26,New confirmed cases by infection date,Decreasing,0.97
Tameside,15 (7 -- 29),15,16,7,7,11,13,16,19,29,New confirmed cases by infection date,Decreasing,0.96
Brent,14 (7 -- 26),14,15,6,7,11,12,15,18,26,New confirmed cases by infection date,Decreasing,0.95
Calderdale,14 (7 -- 27),14,15,6,7,11,13,15,18,27,New confirmed cases by infection date,Likely decreasing,0.92
Midlothian,14 (7 -- 24),14,15,5,7,11,13,15,17,24,New confirmed cases by infection date,Likely decreasing,0.64
Stockport,14 (7 -- 27),14,16,6,7,11,13,16,19,27,New confirmed cases by infection date,Decreasing,0.99
Wrexham,14 (6 -- 37),14,16,11,6,10,12,15,20,37,New confirmed cases by infection date,Stable,0.4
Antrim and Newtownabbey,13 (4 -- 48),13,19,22,4,8,11,16,22,48,New confirmed cases by infection date,Stable,0.5
Blackpool,13 (7 -- 26),13,14,6,7,10,11,14,16,26,New confirmed cases by infection date,Likely decreasing,0.67
Central Bedfordshire,13 (6 -- 26),13,14,6,6,9,11,14,17,26,New confirmed cases by infection date,Likely decreasing,0.86
Clackmannanshire,13 (6 -- 22),13,13,5,6,10,12,14,16,22,New confirmed cases by infection date,Likely decreasing,0.6
East Lothian,13 (6 -- 26),13,14,6,6,10,12,14,17,26,New confirmed cases by infection date,Likely decreasing,0.6
Middlesbrough,13 (6 -- 35),13,16,10,6,9,11,15,19,35,New confirmed cases by infection date,Likely decreasing,0.81
North Ayrshire,13 (6 -- 30),13,15,9,6,10,12,15,18,30,New confirmed cases by infection date,Likely decreasing,0.83
Renfrewshire,13 (3 -- 42),13,17,13,3,8,11,16,21,42,New confirmed cases by infection date,Likely decreasing,0.86
Waltham Forest,13 (7 -- 24),13,14,5,7,10,11,14,16,24,New confirmed cases by infection date,Likely decreasing,0.76
Wandsworth,13 (5 -- 31),13,15,8,5,9,12,15,18,31,New confirmed cases by infection date,Likely decreasing,0.79
Westminster,13 (5 -- 31),13,15,9,5,9,11,14,18,31,New confirmed cases by infection date,Stable,0.54
Blackburn with Darwen,12 (6 -- 23),12,13,5,6,10,11,14,16,23,New confirmed cases by infection date,Likely decreasing,0.94
Greenwich,12 (6 -- 26),12,14,6,6,9,11,14,17,26,New confirmed cases by infection date,Likely decreasing,0.74
Medway,12 (6 -- 20),12,12,4,6,9,11,13,14,20,New confirmed cases by infection date,Likely decreasing,0.92
Milton Keynes,12 (5 -- 24),12,13,6,5,8,10,13,16,24,New confirmed cases by infection date,Decreasing,0.97
Swindon,12 (4 -- 28),12,13,7,4,8,10,14,17,28,New confirmed cases by infection date,Likely decreasing,0.9
Cardiff,11 (3 -- 25),11,12,7,3,7,9,12,15,25,New confirmed cases by infection date,Decreasing,0.98
Causeway Coast and Glens,11 (3 -- 41),11,16,17,3,7,9,14,19,41,New confirmed cases by infection date,Stable,0.44
Dorset,11 (5 -- 24),11,13,8,5,8,10,13,16,24,New confirmed cases by infection date,Likely decreasing,0.86
Gwynedd,11 (3 -- 27),11,13,8,3,7,9,13,16,27,New confirmed cases by infection date,Likely decreasing,0.68
Oxfordshire,11 (4 -- 23),11,12,6,4,8,9,12,15,23,New confirmed cases by infection date,Decreasing,0.99
Redbridge,11 (5 -- 24),11,13,6,5,8,10,13,15,24,New confirmed cases by infection date,Likely decreasing,0.9
Ards and North Down,10 (4 -- 27),10,12,7,4,7,9,12,15,27,New confirmed cases by infection date,Likely decreasing,0.61
Barking and Dagenham,10 (5 -- 20),10,11,4,5,8,9,11,13,20,New confirmed cases by infection date,Likely decreasing,0.9
Croydon,10 (4 -- 20),10,11,4,4,7,9,11,13,20,New confirmed cases by infection date,Decreasing,0.98
East Ayrshire,10 (2 -- 29),10,12,9,2,6,9,13,17,29,New confirmed cases by infection date,Decreasing,0.95
East Renfrewshire,10 (4 -- 21),10,11,5,4,7,9,11,14,21,New confirmed cases by infection date,Likely decreasing,0.85
Hartlepool,10 (4 -- 21),10,11,6,4,7,8,11,13,21,New confirmed cases by infection date,Likely decreasing,0.84
Lambeth,10 (4 -- 26),10,12,7,4,7,9,12,15,26,New confirmed cases by infection date,Likely decreasing,0.77
Newport,10 (4 -- 21),10,11,5,4,7,8,11,13,21,New confirmed cases by infection date,Likely decreasing,0.8
Plymouth,10 (4 -- 27),10,12,7,4,7,9,12,15,27,New confirmed cases by infection date,Stable,0.58
Shropshire,10 (3 -- 36),10,13,15,3,6,8,11,16,36,New confirmed cases by infection date,Likely decreasing,0.82
South Tyneside,10 (3 -- 20),10,10,5,3,7,8,11,13,20,New confirmed cases by infection date,Likely decreasing,0.92
St. Helens,10 (4 -- 22),10,11,6,4,7,8,11,13,22,New confirmed cases by infection date,Decreasing,0.95
Brighton and Hove,9 (4 -- 21),9,11,6,4,6,8,11,13,21,New confirmed cases by infection date,Likely decreasing,0.78
Carmarthenshire,9 (4 -- 22),9,11,6,4,7,8,11,13,22,New confirmed cases by infection date,Likely decreasing,0.74
Conwy,9 (3 -- 19),9,9,5,3,6,8,10,12,19,New confirmed cases by infection date,Likely decreasing,0.82
Enfield,9 (4 -- 21),9,11,5,4,7,8,11,13,21,New confirmed cases by infection date,Likely decreasing,0.84
Flintshire,9 (4 -- 22),9,11,6,4,7,8,11,13,22,New confirmed cases by infection date,Likely decreasing,0.8
Redcar and Cleveland,9 (3 -- 32),9,12,14,3,5,7,10,14,32,New confirmed cases by infection date,Likely decreasing,0.72
Slough,9 (4 -- 16),9,9,4,4,7,8,10,11,16,New confirmed cases by infection date,Decreasing,0.98
South Gloucestershire,9 (4 -- 24),9,11,7,4,7,8,11,14,24,New confirmed cases by infection date,Likely decreasing,0.84
Southend-on-Sea,9 (4 -- 23),9,11,7,4,6,8,11,13,23,New confirmed cases by infection date,Likely decreasing,0.62
Southwark,9 (4 -- 21),9,11,5,4,7,8,10,13,21,New confirmed cases by infection date,Likely decreasing,0.77
Swansea,9 (3 -- 21),9,10,6,3,6,8,10,13,21,New confirmed cases by infection date,Likely decreasing,0.84
Tower Hamlets,9 (4 -- 20),9,10,5,4,7,8,11,13,20,New confirmed cases by infection date,Likely decreasing,0.86
Aberdeen City,8 (3 -- 25),8,10,9,3,5,7,9,12,25,New confirmed cases by infection date,Stable,0.48
Bridgend,8 (3 -- 22),8,10,7,3,5,7,9,12,22,New confirmed cases by infection date,Stable,0.47
Cumbria,8 (3 -- 19),8,9,5,3,5,7,9,11,19,New confirmed cases by infection date,Decreasing,0.98
Derry City and Strabane,8 (2 -- 27),8,10,9,2,4,6,9,13,27,New confirmed cases by infection date,Likely decreasing,0.75
Islington,8 (3 -- 21),8,10,6,3,6,7,10,12,21,New confirmed cases by infection date,Likely decreasing,0.6
Mid Ulster,8 (2 -- 28),8,11,13,2,5,7,10,13,28,New confirmed cases by infection date,Likely decreasing,0.76
Mid and East Antrim,8 (2 -- 23),8,10,7,2,5,7,9,12,23,New confirmed cases by infection date,Likely decreasing,0.85
"Newry, Mourne and Down",8 (2 -- 41),8,14,18,2,5,7,11,16,41,New confirmed cases by infection date,Stable,0.52
Southampton,8 (3 -- 19),8,9,5,3,6,7,9,12,19,New confirmed cases by infection date,Decreasing,0.98
West Dunbartonshire,8 (2 -- 23),8,10,7,2,5,7,10,13,23,New confirmed cases by infection date,Likely decreasing,0.9
Wiltshire,8 (4 -- 18),8,10,4,4,6,8,10,12,18,New confirmed cases by infection date,Decreasing,0.98
York,8 (3 -- 18),8,9,5,3,5,7,9,11,18,New confirmed cases by infection date,Likely decreasing,0.85
Bedford,7 (3 -- 14),7,7,3,3,5,6,8,9,14,New confirmed cases by infection date,Decreasing,0.96
Bury,7 (3 -- 16),7,8,4,3,5,6,8,10,16,New confirmed cases by infection date,Decreasing,0.99
Camden,7 (3 -- 15),7,8,4,3,5,6,8,9,15,New confirmed cases by infection date,Likely decreasing,0.85
Darlington,7 (3 -- 13),7,7,3,3,5,6,7,9,13,New confirmed cases by infection date,Decreasing,0.96
Gateshead,7 (3 -- 17),7,8,4,3,5,6,8,10,17,New confirmed cases by infection date,Decreasing,0.95
Highland,7 (1 -- 32),7,11,14,1,3,5,8,12,32,New confirmed cases by infection date,Likely decreasing,0.75
Perth and Kinross,7 (3 -- 18),7,8,6,3,5,6,8,10,18,New confirmed cases by infection date,Likely decreasing,0.8
Portsmouth,7 (3 -- 15),7,8,4,3,5,6,8,10,15,New confirmed cases by infection date,Decreasing,0.96
Powys,7 (3 -- 15),7,8,3,3,5,6,8,10,15,New confirmed cases by infection date,Likely decreasing,0.91
Solihull,7 (3 -- 13),7,7,3,3,5,6,8,9,13,New confirmed cases by infection date,Decreasing,0.98
Sutton,7 (3 -- 16),7,8,4,3,5,7,8,10,16,New confirmed cases by infection date,Likely decreasing,0.91
Wolverhampton,7 (3 -- 15),7,8,3,3,5,6,8,10,15,New confirmed cases by infection date,Decreasing,1
"Bournemouth, Christchurch and Poole",6 (3 -- 16),6,8,4,3,4,6,7,9,16,New confirmed cases by infection date,Decreasing,0.96
Bromley,6 (3 -- 14),6,7,3,3,5,6,7,9,14,New confirmed cases by infection date,Likely decreasing,0.92
East Dunbartonshire,6 (2 -- 20),6,8,8,2,4,5,7,10,20,New confirmed cases by infection date,Likely decreasing,0.77
Fermanagh and Omagh,6 (2 -- 13),6,6,3,2,4,5,6,8,13,New confirmed cases by infection date,Stable,0.54
Halton,6 (2 -- 20),6,8,6,2,4,5,7,10,20,New confirmed cases by infection date,Likely decreasing,0.79
Havering,6 (3 -- 14),6,7,3,3,4,5,7,9,14,New confirmed cases by infection date,Decreasing,0.95
Merton,6 (2 -- 12),6,6,3,2,4,5,6,8,12,New confirmed cases by infection date,Decreasing,0.97
North Somerset,6 (3 -- 13),6,7,3,3,4,5,7,8,13,New confirmed cases by infection date,Likely decreasing,0.92
Rhondda Cynon Taf,6 (2 -- 14),6,7,4,2,4,5,7,8,14,New confirmed cases by infection date,Likely decreasing,0.91
Trafford,6 (3 -- 14),6,7,3,3,5,6,7,9,14,New confirmed cases by infection date,Decreasing,0.99
Windsor and Maidenhead,6 (2 -- 14),6,7,4,2,4,5,6,8,14,New confirmed cases by infection date,Likely decreasing,0.75
Wirral,6 (2 -- 17),6,8,4,2,4,6,8,9,17,New confirmed cases by infection date,Decreasing,0.98
Wokingham,6 (2 -- 12),6,6,3,2,4,5,6,8,12,New confirmed cases by infection date,Likely decreasing,0.87
Angus,5 (2 -- 20),5,8,7,2,3,5,7,9,20,New confirmed cases by infection date,Likely decreasing,0.68
Denbighshire,5 (2 -- 16),5,7,5,2,4,5,7,9,16,New confirmed cases by infection date,Likely decreasing,0.68
East Sussex,5 (1 -- 12),5,5,3,1,3,4,5,7,12,New confirmed cases by infection date,Decreasing,0.98
Hammersmith and Fulham,5 (2 -- 14),5,6,4,2,3,4,6,8,14,New confirmed cases by infection date,Likely decreasing,0.91
Haringey,5 (2 -- 10),5,5,2,2,3,4,6,7,10,New confirmed cases by infection date,Decreasing,0.97
Kingston upon Thames,5 (2 -- 13),5,6,3,2,4,5,6,7,13,New confirmed cases by infection date,Likely decreasing,0.82
Knowsley,5 (1 -- 16),5,6,5,1,3,4,6,8,16,New confirmed cases by infection date,Likely decreasing,0.92
Merthyr Tydfil,5 (1 -- 14),5,6,5,1,3,4,6,7,14,New confirmed cases by infection date,Stable,0.52
Neath Port Talbot,5 (2 -- 11),5,5,3,2,3,4,5,6,11,New confirmed cases by infection date,Likely decreasing,0.92
Thurrock,5 (1 -- 14),5,6,4,1,3,4,6,7,14,New confirmed cases by infection date,Likely decreasing,0.93
Torfaen,5 (2 -- 12),5,6,3,2,4,5,6,8,12,New confirmed cases by infection date,Likely decreasing,0.8
Bath and North East Somerset,4 (1 -- 9),4,4,2,1,2,3,4,5,9,New confirmed cases by infection date,Likely decreasing,0.9
Blaenau Gwent,4 (1 -- 15),4,6,8,1,3,3,5,7,15,New confirmed cases by infection date,Stable,0.54
Isle of Anglesey,4 (1 -- 10),4,5,3,1,3,3,5,6,10,New confirmed cases by infection date,Likely decreasing,0.87
Lewisham,4 (1 -- 9),4,4,2,1,3,3,4,5,9,New confirmed cases by infection date,Decreasing,0.95
Reading,4 (2 -- 9),4,5,2,2,3,4,5,6,9,New confirmed cases by infection date,Decreasing,0.96
Richmond upon Thames,4 (1 -- 12),4,5,3,1,3,4,5,7,12,New confirmed cases by infection date,Likely decreasing,0.88
Aberdeenshire,3 (1 -- 11),3,5,4,1,2,3,4,6,11,New confirmed cases by infection date,Likely decreasing,0.87
Bexley,3 (1 -- 8),3,4,2,1,2,3,4,5,8,New confirmed cases by infection date,Decreasing,0.99
Cornwall and Isles of Scilly,3 (1 -- 11),3,4,3,1,2,3,4,5,11,New confirmed cases by infection date,Likely decreasing,0.92
Hackney and City of London,3 (1 -- 9),3,4,2,1,2,3,4,5,9,New confirmed cases by infection date,Decreasing,0.98
Monmouthshire,3 (1 -- 9),3,4,2,1,2,3,4,5,9,New confirmed cases by infection date,Likely decreasing,0.86
Moray,3 (0 -- 9),3,3,3,0,1,2,3,4,9,New confirmed cases by infection date,Likely decreasing,0.87
South Ayrshire,3 (1 -- 8),3,3,2,1,2,2,3,4,8,New confirmed cases by infection date,Likely decreasing,0.94
Telford and Wrekin,3 (1 -- 11),3,4,3,1,2,3,4,5,11,New confirmed cases by infection date,Decreasing,0.98
Torbay,3 (1 -- 10),3,4,4,1,2,2,3,5,10,New confirmed cases by infection date,Likely decreasing,0.85
Bracknell Forest,2 (1 -- 6),2,3,1,1,1,2,3,3,6,New confirmed cases by infection date,Decreasing,0.95
Inverclyde,2 (0 -- 10),2,3,4,0,1,2,3,4,10,New confirmed cases by infection date,Likely decreasing,0.79
Kensington and Chelsea,2 (0 -- 5),2,2,1,0,1,2,2,3,5,New confirmed cases by infection date,Decreasing,0.95
Lisburn and Castlereagh,2 (0 -- 9),2,3,2,0,1,2,3,4,9,New confirmed cases by infection date,Decreasing,0.96
Pembrokeshire,2 (1 -- 5),2,2,1,1,1,2,2,3,5,New confirmed cases by infection date,Likely decreasing,0.94
Vale of Glamorgan,2 (0 -- 5),2,2,1,0,1,1,2,3,5,New confirmed cases by infection date,Decreasing,0.97
West Berkshire,2 (0 -- 6),2,2,1,0,1,1,2,3,6,New confirmed cases by infection date,Decreasing,0.97
Shetland Islands,1.5 (0.26 -- 6.6),1.5,2.1,2,0.26,0.76,1.2,1.9,2.9,6.6,Effective reproduction no.,Likely increasing,0.34
Causeway Coast and Glens,1.1 (0.56 -- 1.9),1.1,1.1,0.43,0.56,0.83,0.97,1.2,1.3,1.9,Effective reproduction no.,Stable,0.44
Dundee City,1.1 (0.75 -- 1.6),1.1,1.1,0.27,0.75,0.94,1,1.1,1.3,1.6,Effective reproduction no.,Likely increasing,0.35
Aberdeen City,1 (0.72 -- 1.5),1,1,0.24,0.72,0.88,0.96,1.1,1.2,1.5,Effective reproduction no.,Stable,0.48
Antrim and Newtownabbey,1 (0.53 -- 1.9),1,1.1,0.47,0.53,0.78,0.91,1.1,1.3,1.9,Effective reproduction no.,Stable,0.5
Argyll and Bute,1 (0 -- 6),1,2,3,0,0,1,2,2,6,New confirmed cases by infection date,Likely decreasing,0.86
Bridgend,1 (0.7 -- 1.5),1,1,0.25,0.7,0.87,0.96,1.1,1.2,1.5,Effective reproduction no.,Stable,0.47
Ceredigion,1 (0 -- 4),1,1,1,0,1,1,1,2,4,New confirmed cases by infection date,Likely decreasing,0.76
Dumfries and Galloway,1 (0 -- 5),1,1,3,0,0,0,1,1,5,New confirmed cases by infection date,Likely decreasing,0.93
"Herefordshire, County of",1 (0 -- 3),1,1,1,0,0,0,1,1,3,New confirmed cases by infection date,Decreasing,1
Rutland,1 (0 -- 5),1,2,2,0,1,1,2,2,5,New confirmed cases by infection date,Likely decreasing,0.94
Scottish Borders,1 (0 -- 6),1,2,2,0,1,1,2,2,6,New confirmed cases by infection date,Likely decreasing,0.82
Wrexham,1 (0.78 -- 1.5),1,1.1,0.23,0.78,0.92,1,1.1,1.2,1.5,Effective reproduction no.,Stable,0.4
Clackmannanshire,0.99 (0.84 -- 1.1),0.99,0.98,0.089,0.84,0.94,0.97,1,1,1.1,Effective reproduction no.,Likely decreasing,0.6
"Kingston upon Hull, City of",0.99 (0.78 -- 1.2),0.99,1,0.14,0.78,0.9,0.96,1,1.1,1.2,Effective reproduction no.,Stable,0.53
Merthyr Tydfil,0.99 (0.65 -- 1.4),0.99,1,0.26,0.65,0.84,0.93,1,1.1,1.4,Effective reproduction no.,Stable,0.52
Midlothian,0.99 (0.86 -- 1.1),0.99,0.98,0.078,0.86,0.94,0.97,1,1,1.1,Effective reproduction no.,Likely decreasing,0.64
Blaenau Gwent,0.98 (0.69 -- 1.5),0.98,1,0.28,0.69,0.85,0.93,1,1.1,1.5,Effective reproduction no.,Stable,0.54
East Lothian,0.98 (0.81 -- 1.2),0.98,0.98,0.11,0.81,0.93,0.96,1,1,1.2,Effective reproduction no.,Likely decreasing,0.6
Fermanagh and Omagh,0.98 (0.67 -- 1.3),0.98,1,0.21,0.67,0.86,0.93,1,1.1,1.3,Effective reproduction no.,Stable,0.54
Westminster,0.98 (0.66 -- 1.5),0.98,1,0.25,0.66,0.84,0.92,1,1.1,1.5,Effective reproduction no.,Stable,0.54
"Newry, Mourne and Down",0.97 (0.47 -- 2.1),0.97,1.1,0.52,0.47,0.73,0.87,1.1,1.3,2.1,Effective reproduction no.,Stable,0.52
Stirling,0.97 (0.75 -- 1.2),0.97,0.97,0.14,0.75,0.89,0.94,0.99,1,1.2,Effective reproduction no.,Likely decreasing,0.62
North Lincolnshire,0.96 (0.76 -- 1.2),0.96,0.97,0.14,0.76,0.88,0.93,1,1,1.2,Effective reproduction no.,Likely decreasing,0.61
Barnsley,0.95 (0.77 -- 1.1),0.95,0.95,0.11,0.77,0.88,0.92,0.97,1,1.1,Effective reproduction no.,Likely decreasing,0.69
Islington,0.95 (0.64 -- 1.4),0.95,0.97,0.23,0.64,0.81,0.9,1,1.1,1.4,Effective reproduction no.,Likely decreasing,0.6
Plymouth,0.95 (0.62 -- 1.4),0.95,0.97,0.24,0.62,0.81,0.9,1,1.1,1.4,Effective reproduction no.,Stable,0.58
