region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases,prob_control
Maranhão,353 (121 -- 864),353,403,240,121,236,302,405,513,864,New confirmed cases by infection date,Likely decreasing,0.89
Amapá,302 (115 -- 639),302,329,168,115,207,263,341,415,639,New confirmed cases by infection date,Likely decreasing,0.87
Roraima,202 (99 -- 437),202,229,158,99,154,183,222,267,437,New confirmed cases by infection date,Likely decreasing,0.61
Ceará,1.1 (0.93 -- 1.1),1.1,1,0.062,0.93,1,1,1.1,1.1,1.1,Effective reproduction no.,Likely increasing,0.16
Mato Grosso do Sul,1.1 (0.98 -- 1.2),1.1,1.1,0.072,0.98,1.1,1.1,1.1,1.1,1.2,Effective reproduction no.,Likely increasing,0.072
Piauí,1.1 (0.93 -- 1.2),1.1,1.1,0.086,0.93,1,1.1,1.1,1.1,1.2,Effective reproduction no.,Likely increasing,0.17
Acre,1 (0.87 -- 1.1),1,1,0.072,0.87,0.97,1,1,1,1.1,Effective reproduction no.,Stable,0.41
Goiás,1 (0.82 -- 1.1),1,1,0.11,0.82,0.98,1,1.1,1.1,1.1,Effective reproduction no.,Likely increasing,0.29
Paraíba,1 (0.84 -- 1.1),1,0.99,0.088,0.84,0.95,0.98,1,1,1.1,Effective reproduction no.,Stable,0.52
Pará,1 (0.69 -- 1.1),1,0.96,0.13,0.69,0.9,0.97,1,1,1.1,Effective reproduction no.,Stable,0.5
Pernambuco,1 (0.88 -- 1.1),1,1,0.059,0.88,0.99,1,1,1,1.1,Effective reproduction no.,Likely increasing,0.32
Rio Grande do Norte,1 (0.85 -- 1.1),1,0.99,0.076,0.85,0.97,1,1,1,1.1,Effective reproduction no.,Stable,0.43
Rio de Janeiro,1 (0.92 -- 1.2),1,1,0.094,0.92,0.99,1,1,1.1,1.2,Effective reproduction no.,Likely increasing,0.31
Sergipe,1 (0.8 -- 1.2),1,1,0.12,0.8,0.94,1,1.1,1.1,1.2,Effective reproduction no.,Stable,0.4
São Paulo,1 (0.86 -- 1.2),1,1,0.091,0.86,1,1,1,1.1,1.2,Effective reproduction no.,Likely increasing,0.26
Roraima,0.97 (0.77 -- 1.3),0.97,0.99,0.16,0.77,0.9,0.94,1,1.1,1.3,Effective reproduction no.,Likely decreasing,0.61
Espirito Santo,0.96 (0.65 -- 1.1),0.96,0.94,0.14,0.65,0.87,0.93,0.99,1,1.1,Effective reproduction no.,Likely decreasing,0.63
Distrito Federal,0.95 (0.7 -- 1.3),0.95,0.97,0.19,0.7,0.84,0.91,0.99,1.1,1.3,Effective reproduction no.,Likely decreasing,0.61
Alagoas,0.93 (0.73 -- 1.1),0.93,0.92,0.12,0.73,0.84,0.9,0.95,1,1.1,Effective reproduction no.,Likely decreasing,0.76
Tocantins,0.92 (0.61 -- 1.5),0.92,0.97,0.29,0.61,0.79,0.87,0.98,1.1,1.5,Effective reproduction no.,Likely decreasing,0.64
Amazonas,0.91 (0.61 -- 1.2),0.91,0.91,0.18,0.61,0.79,0.86,0.95,1,1.2,Effective reproduction no.,Likely decreasing,0.72
Mato Grosso,0.9 (0.63 -- 1.1),0.9,0.89,0.15,0.63,0.79,0.86,0.94,0.99,1.1,Effective reproduction no.,Likely decreasing,0.77
Amapá,0.83 (0.55 -- 1.1),0.83,0.83,0.16,0.55,0.72,0.79,0.87,0.93,1.1,Effective reproduction no.,Likely decreasing,0.87
Bahia,0.81 (0.48 -- 1.2),0.81,0.82,0.23,0.48,0.67,0.76,0.86,0.96,1.2,Effective reproduction no.,Likely decreasing,0.8
Maranhão,0.78 (0.49 -- 1.1),0.78,0.79,0.18,0.49,0.66,0.74,0.83,0.9,1.1,Effective reproduction no.,Likely decreasing,0.89
Minas Gerais,0.78 (0.5 -- 1.1),0.78,0.78,0.17,0.5,0.67,0.74,0.83,0.9,1.1,Effective reproduction no.,Likely decreasing,0.91
Rondônia,0.77 (0.53 -- 1),0.77,0.77,0.16,0.53,0.67,0.73,0.8,0.86,1,Effective reproduction no.,Likely decreasing,0.93
Rio Grande do Sul,0.75 (0.49 -- 1),0.75,0.76,0.18,0.49,0.64,0.71,0.79,0.86,1,Effective reproduction no.,Likely decreasing,0.92
Paraná,0.73 (0.43 -- 1.1),0.73,0.74,0.21,0.43,0.6,0.68,0.77,0.85,1.1,Effective reproduction no.,Likely decreasing,0.91
Santa Catarina,0.68 (0.38 -- 0.96),0.68,0.68,0.18,0.38,0.56,0.63,0.73,0.79,0.96,Effective reproduction no.,Decreasing,0.96
