region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases,prob_control
Bolivar,19 (7 -- 40),19,21,11,7,13,17,21,26,40,New confirmed cases by infection date,Decreasing,0.99
Meta,18 (8 -- 46),18,21,13,8,13,16,21,26,46,New confirmed cases by infection date,Likely decreasing,0.9
Huila,15 (5 -- 44),15,19,15,5,10,13,17,23,44,New confirmed cases by infection date,Likely decreasing,0.94
Casanare,12 (5 -- 38),12,16,13,5,8,11,14,19,38,New confirmed cases by infection date,Likely decreasing,0.79
Cauca,12 (4 -- 48),12,18,21,4,8,10,15,21,48,New confirmed cases by infection date,Likely decreasing,0.8
Tolima,7 (2 -- 23),7,9,8,2,4,6,8,11,23,New confirmed cases by infection date,Decreasing,0.98
Caldas,6 (2 -- 19),6,8,6,2,4,5,7,10,19,New confirmed cases by infection date,Decreasing,0.98
Putumayo,4 (1 -- 11),4,5,3,1,2,3,4,6,11,New confirmed cases by infection date,Likely decreasing,0.93
Caqueta,3 (1 -- 9),3,4,2,1,2,2,3,5,9,New confirmed cases by infection date,Decreasing,0.97
Vichada,3 (0 -- 14),3,4,7,0,1,2,3,5,14,New confirmed cases by infection date,Likely decreasing,0.7
Guaviare,2 (0 -- 10),2,3,5,0,1,2,3,4,10,New confirmed cases by infection date,Likely decreasing,0.66
La guajira,2 (0 -- 6),2,2,2,0,1,1,2,3,6,New confirmed cases by infection date,Decreasing,0.97
Antioquia,1.3 (0.84 -- 1.9),1.3,1.3,0.35,0.84,1.1,1.2,1.4,1.5,1.9,Effective reproduction no.,Likely increasing,0.13
Narino,1.2 (0.73 -- 2.4),1.2,1.3,0.54,0.73,0.98,1.1,1.3,1.6,2.4,Effective reproduction no.,Likely increasing,0.28
Amazonas,1 (0.61 -- 1.5),1,1,0.29,0.61,0.85,0.95,1.1,1.2,1.5,Effective reproduction no.,Stable,0.5
Atlantico,1 (0.79 -- 1.7),1,1.1,0.3,0.79,0.91,0.99,1.1,1.2,1.7,Effective reproduction no.,Stable,0.41
Bogota,0.95 (0.74 -- 1.3),0.95,0.97,0.17,0.74,0.86,0.92,0.99,1.1,1.3,Effective reproduction no.,Likely decreasing,0.62
Magdalena,0.95 (0.81 -- 1.1),0.95,0.95,0.082,0.81,0.91,0.94,0.97,0.99,1.1,Effective reproduction no.,Likely decreasing,0.78
Cordoba,0.92 (0.68 -- 1.2),0.92,0.93,0.17,0.68,0.82,0.88,0.96,1,1.2,Effective reproduction no.,Likely decreasing,0.71
Guaviare,0.92 (0.56 -- 1.4),0.92,0.94,0.26,0.56,0.8,0.88,0.97,1.1,1.4,Effective reproduction no.,Likely decreasing,0.66
Quindio,0.91 (0.76 -- 1.2),0.91,0.94,0.14,0.76,0.85,0.88,0.94,1,1.2,Effective reproduction no.,Likely decreasing,0.76
Vichada,0.91 (0.32 -- 1.3),0.91,0.85,0.3,0.32,0.66,0.83,0.97,1,1.3,Effective reproduction no.,Likely decreasing,0.7
Santander,0.89 (0.76 -- 1.1),0.89,0.89,0.09,0.76,0.84,0.87,0.91,0.94,1.1,Effective reproduction no.,Likely decreasing,0.9
Risaralda,0.87 (0.67 -- 1.3),0.87,0.9,0.19,0.67,0.77,0.83,0.91,0.99,1.3,Effective reproduction no.,Likely decreasing,0.77
Casanare,0.84 (0.61 -- 1.2),0.84,0.87,0.2,0.61,0.75,0.81,0.89,0.97,1.2,Effective reproduction no.,Likely decreasing,0.79
Norte de santander,0.84 (0.72 -- 1),0.84,0.86,0.1,0.72,0.8,0.83,0.87,0.91,1,Effective reproduction no.,Likely decreasing,0.92
Cesar,0.83 (0.65 -- 1),0.83,0.83,0.13,0.65,0.76,0.8,0.85,0.89,1,Effective reproduction no.,Likely decreasing,0.92
Sucre,0.83 (0.61 -- 1.1),0.83,0.84,0.15,0.61,0.75,0.8,0.87,0.92,1.1,Effective reproduction no.,Likely decreasing,0.89
Boyaca,0.81 (0.61 -- 1.1),0.81,0.82,0.15,0.61,0.73,0.77,0.84,0.9,1.1,Effective reproduction no.,Likely decreasing,0.89
Meta,0.79 (0.61 -- 1.1),0.79,0.81,0.15,0.61,0.72,0.76,0.82,0.88,1.1,Effective reproduction no.,Likely decreasing,0.9
Cauca,0.78 (0.5 -- 1.3),0.78,0.83,0.28,0.5,0.65,0.73,0.84,0.95,1.3,Effective reproduction no.,Likely decreasing,0.8
Cundinamarca,0.77 (0.59 -- 1),0.77,0.79,0.14,0.59,0.7,0.75,0.81,0.86,1,Effective reproduction no.,Likely decreasing,0.94
Valle del cauca,0.77 (0.57 -- 1.2),0.77,0.8,0.19,0.57,0.69,0.73,0.81,0.88,1.2,Effective reproduction no.,Likely decreasing,0.87
Putumayo,0.75 (0.54 -- 1),0.75,0.77,0.16,0.54,0.67,0.72,0.79,0.85,1,Effective reproduction no.,Likely decreasing,0.93
Caqueta,0.71 (0.49 -- 0.95),0.71,0.72,0.15,0.49,0.63,0.68,0.74,0.8,0.95,Effective reproduction no.,Decreasing,0.97
Bolivar,0.7 (0.5 -- 0.9),0.7,0.7,0.12,0.5,0.62,0.67,0.73,0.77,0.9,Effective reproduction no.,Decreasing,0.99
Guainia,0.7 (0.24 -- 1.1),0.7,0.7,0.3,0.24,0.49,0.62,0.79,0.9,1.1,Effective reproduction no.,Likely decreasing,0.89
Huila,0.67 (0.44 -- 1),0.67,0.69,0.19,0.44,0.57,0.63,0.71,0.78,1,Effective reproduction no.,Likely decreasing,0.94
La guajira,0.66 (0.39 -- 0.91),0.66,0.66,0.17,0.39,0.56,0.62,0.69,0.75,0.91,Effective reproduction no.,Decreasing,0.97
Arauca,0.65 (0.34 -- 1.2),0.65,0.69,0.27,0.34,0.52,0.6,0.7,0.8,1.2,Effective reproduction no.,Likely decreasing,0.9
Vaupes,0.61 (0.015 -- 1.2),0.61,0.61,0.53,0.015,0.24,0.47,0.72,0.86,1.2,Effective reproduction no.,Likely decreasing,0.9
San andres y providencia,0.6 (0.2 -- 1),0.6,0.61,0.27,0.2,0.41,0.53,0.66,0.77,1,Effective reproduction no.,Likely decreasing,0.94
Caldas,0.59 (0.36 -- 0.89),0.59,0.6,0.16,0.36,0.5,0.55,0.62,0.69,0.89,Effective reproduction no.,Decreasing,0.98
Tolima,0.58 (0.37 -- 0.87),0.58,0.59,0.16,0.37,0.49,0.55,0.61,0.68,0.87,Effective reproduction no.,Decreasing,0.98
Choco,0.44 (0.12 -- 1),0.44,0.49,0.32,0.12,0.3,0.38,0.51,0.61,1,Effective reproduction no.,Decreasing,0.95
Arauca,0 (0 -- 4),0,1,3,0,0,0,1,1,4,New confirmed cases by infection date,Likely decreasing,0.9
Choco,0 (0 -- 3),0,1,4,0,0,0,0,0,3,New confirmed cases by infection date,Decreasing,0.95
Guainia,0 (0 -- 1),0,0,0,0,0,0,0,0,1,New confirmed cases by infection date,Likely decreasing,0.89
San andres y providencia,0 (0 -- 2),0,0,1,0,0,0,0,0,2,New confirmed cases by infection date,Likely decreasing,0.94
Vaupes,0 (0 -- 0),0,0,0,0,0,0,0,0,0,New confirmed cases by infection date,Likely decreasing,0.9
