region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases,prob_control
Puerto Rico,47 (15 -- 161),47,63,56,15,30,39,56,75,161,New confirmed cases by infection date,Stable,0.42
West Virginia,47 (23 -- 80),47,49,17,23,35,42,53,60,80,New confirmed cases by infection date,Decreasing,1
Maryland,46 (30 -- 75),46,49,14,30,39,43,49,56,75,New confirmed cases by infection date,Likely decreasing,0.89
Hawaii,34 (20 -- 53),34,35,10,20,28,31,36,40,53,New confirmed cases by infection date,Likely decreasing,0.86
Massachusetts,32 (18 -- 55),32,34,12,18,25,29,34,39,55,New confirmed cases by infection date,Decreasing,0.98
Connecticut,29 (14 -- 62),29,32,16,14,22,26,33,39,62,New confirmed cases by infection date,Decreasing,0.96
New Hampshire,18 (8 -- 48),18,22,15,8,13,16,21,26,48,New confirmed cases by infection date,Likely decreasing,0.67
Virgin Islands,18 (6 -- 53),18,23,21,6,12,16,21,28,53,New confirmed cases by infection date,Likely increasing,0.31
Alaska,17 (7 -- 59),17,23,23,7,11,15,20,27,59,New confirmed cases by infection date,Likely decreasing,0.76
Maine,17 (8 -- 33),17,18,8,8,13,15,18,22,33,New confirmed cases by infection date,Likely decreasing,0.93
Delaware,16 (8 -- 39),16,19,12,8,12,14,17,21,39,New confirmed cases by infection date,Likely decreasing,0.87
Nebraska,13 (6 -- 33),13,16,13,6,10,12,15,19,33,New confirmed cases by infection date,Likely decreasing,0.89
North Dakota,13 (7 -- 21),13,13,4,7,11,12,14,16,21,New confirmed cases by infection date,Decreasing,0.96
Rhode Island,9 (3 -- 21),9,10,7,3,6,8,10,12,21,New confirmed cases by infection date,Decreasing,0.96
District of Columbia,7 (3 -- 15),7,8,4,3,5,6,8,9,15,New confirmed cases by infection date,Likely decreasing,0.91
Guam,3 (1 -- 9),3,4,3,1,2,3,4,5,9,New confirmed cases by infection date,Likely decreasing,0.68
Vermont,3 (1 -- 11),3,5,4,1,2,3,4,6,11,New confirmed cases by infection date,Likely decreasing,0.73
South Dakota,2 (0 -- 6),2,3,2,0,1,2,2,3,6,New confirmed cases by infection date,Decreasing,0.97
Arkansas,1.1 (0.89 -- 1.5),1.1,1.2,0.19,0.89,1,1.1,1.2,1.3,1.5,Effective reproduction no.,Likely increasing,0.17
Missouri,1.1 (0.88 -- 1.4),1.1,1.1,0.19,0.88,0.98,1,1.1,1.2,1.4,Effective reproduction no.,Likely increasing,0.32
Puerto Rico,1.1 (0.67 -- 1.8),1.1,1.1,0.35,0.67,0.88,0.99,1.1,1.3,1.8,Effective reproduction no.,Stable,0.42
Utah,1.1 (0.95 -- 1.2),1.1,1.1,0.082,0.95,1,1.1,1.1,1.1,1.2,Effective reproduction no.,Likely increasing,0.13
Nevada,1 (0.79 -- 1.3),1,1,0.14,0.79,0.93,0.98,1,1.1,1.3,Effective reproduction no.,Stable,0.45
New Jersey,1 (0.74 -- 1.3),1,1,0.18,0.74,0.89,0.96,1,1.1,1.3,Effective reproduction no.,Stable,0.5
Oklahoma,1 (0.92 -- 1.3),1,1,0.12,0.92,0.96,1,1,1.1,1.3,Effective reproduction no.,Stable,0.42
Oregon,1 (0.83 -- 1.2),1,1,0.11,0.83,0.93,0.97,1,1.1,1.2,Effective reproduction no.,Stable,0.52
Virgin Islands,1 (0.84 -- 1.2),1,1,0.12,0.84,0.98,1,1,1.1,1.2,Effective reproduction no.,Likely increasing,0.31
Georgia,0.98 (0.76 -- 1.2),0.98,0.98,0.14,0.76,0.9,0.95,1,1.1,1.2,Effective reproduction no.,Stable,0.58
Montana,0.98 (0.92 -- 1.1),0.98,0.99,0.048,0.92,0.96,0.97,0.99,1,1.1,Effective reproduction no.,Likely decreasing,0.7
Wyoming,0.98 (0.84 -- 1),0.98,0.96,0.062,0.84,0.93,0.96,0.99,1,1,Effective reproduction no.,Likely decreasing,0.7
Louisiana,0.97 (0.86 -- 1),0.97,0.96,0.058,0.86,0.94,0.96,0.98,0.99,1,Effective reproduction no.,Likely decreasing,0.83
Iowa,0.96 (0.82 -- 1.2),0.96,0.97,0.11,0.82,0.9,0.94,0.99,1,1.2,Effective reproduction no.,Likely decreasing,0.65
Ohio,0.96 (0.76 -- 1.2),0.96,0.97,0.15,0.76,0.87,0.92,0.99,1.1,1.2,Effective reproduction no.,Likely decreasing,0.62
Idaho,0.95 (0.76 -- 1),0.95,0.92,0.081,0.76,0.89,0.93,0.96,0.97,1,Effective reproduction no.,Likely decreasing,0.93
Kansas,0.95 (0.79 -- 1.1),0.95,0.94,0.092,0.79,0.91,0.94,0.97,0.98,1.1,Effective reproduction no.,Likely decreasing,0.84
Mississippi,0.95 (0.78 -- 1.2),0.95,0.97,0.15,0.78,0.88,0.93,0.98,1,1.2,Effective reproduction no.,Likely decreasing,0.67
Arizona,0.94 (0.75 -- 1.2),0.94,0.95,0.14,0.75,0.87,0.92,0.97,1,1.2,Effective reproduction no.,Likely decreasing,0.71
Guam,0.94 (0.71 -- 1.3),0.94,0.95,0.17,0.71,0.85,0.91,0.97,1,1.3,Effective reproduction no.,Likely decreasing,0.68
Texas,0.94 (0.79 -- 1.1),0.94,0.93,0.081,0.79,0.9,0.93,0.95,0.97,1.1,Effective reproduction no.,Likely decreasing,0.86
California,0.93 (0.86 -- 1),0.93,0.94,0.064,0.86,0.91,0.92,0.94,0.95,1,Effective reproduction no.,Likely decreasing,0.9
Colorado,0.93 (0.77 -- 1.1),0.93,0.94,0.12,0.77,0.87,0.9,0.95,1,1.1,Effective reproduction no.,Likely decreasing,0.76
New Hampshire,0.93 (0.73 -- 1.3),0.93,0.96,0.18,0.73,0.83,0.89,0.96,1,1.3,Effective reproduction no.,Likely decreasing,0.67
Hawaii,0.92 (0.77 -- 1.1),0.92,0.92,0.088,0.77,0.88,0.91,0.94,0.97,1.1,Effective reproduction no.,Likely decreasing,0.86
New Mexico,0.92 (0.79 -- 1.1),0.92,0.94,0.1,0.79,0.87,0.9,0.95,0.99,1.1,Effective reproduction no.,Likely decreasing,0.78
Tennessee,0.92 (0.68 -- 1.1),0.92,0.9,0.12,0.68,0.86,0.9,0.93,0.95,1.1,Effective reproduction no.,Likely decreasing,0.89
Alabama,0.91 (0.68 -- 1.2),0.91,0.91,0.16,0.68,0.82,0.87,0.94,0.99,1.2,Effective reproduction no.,Likely decreasing,0.77
Florida,0.91 (0.73 -- 1.1),0.91,0.91,0.1,0.73,0.85,0.89,0.94,0.97,1.1,Effective reproduction no.,Likely decreasing,0.83
Virginia,0.9 (0.78 -- 1.1),0.9,0.91,0.099,0.78,0.85,0.88,0.92,0.96,1.1,Effective reproduction no.,Likely decreasing,0.84
Alaska,0.89 (0.71 -- 1.3),0.89,0.93,0.19,0.71,0.81,0.86,0.93,0.99,1.3,Effective reproduction no.,Likely decreasing,0.76
Maryland,0.87 (0.74 -- 1.1),0.87,0.88,0.099,0.74,0.81,0.85,0.89,0.94,1.1,Effective reproduction no.,Likely decreasing,0.89
New York,0.87 (0.73 -- 1.1),0.87,0.88,0.11,0.73,0.81,0.85,0.89,0.94,1.1,Effective reproduction no.,Likely decreasing,0.88
Vermont,0.87 (0.63 -- 1.3),0.87,0.92,0.23,0.63,0.76,0.83,0.92,1,1.3,Effective reproduction no.,Likely decreasing,0.73
District of Columbia,0.86 (0.72 -- 1.1),0.86,0.86,0.1,0.72,0.81,0.84,0.88,0.91,1.1,Effective reproduction no.,Likely decreasing,0.91
Indiana,0.85 (0.67 -- 0.97),0.85,0.84,0.092,0.67,0.8,0.83,0.87,0.9,0.97,Effective reproduction no.,Decreasing,0.98
Kentucky,0.85 (0.72 -- 0.96),0.85,0.85,0.073,0.72,0.8,0.84,0.87,0.89,0.96,Effective reproduction no.,Decreasing,0.98
North Carolina,0.85 (0.7 -- 1),0.85,0.85,0.099,0.7,0.8,0.83,0.87,0.91,1,Effective reproduction no.,Likely decreasing,0.94
Delaware,0.83 (0.68 -- 1.1),0.83,0.86,0.15,0.68,0.77,0.81,0.86,0.92,1.1,Effective reproduction no.,Likely decreasing,0.87
North Dakota,0.83 (0.67 -- 0.99),0.83,0.83,0.095,0.67,0.78,0.81,0.85,0.88,0.99,Effective reproduction no.,Decreasing,0.96
Nebraska,0.82 (0.66 -- 1.1),0.82,0.85,0.16,0.66,0.76,0.8,0.85,0.9,1.1,Effective reproduction no.,Likely decreasing,0.89
Wisconsin,0.8 (0.64 -- 0.94),0.8,0.8,0.091,0.64,0.74,0.78,0.82,0.85,0.94,Effective reproduction no.,Decreasing,0.99
Connecticut,0.79 (0.62 -- 0.99),0.79,0.79,0.11,0.62,0.72,0.76,0.81,0.85,0.99,Effective reproduction no.,Decreasing,0.96
Maine,0.79 (0.59 -- 1),0.79,0.79,0.14,0.59,0.71,0.76,0.81,0.86,1,Effective reproduction no.,Likely decreasing,0.93
Pennsylvania,0.79 (0.52 -- 1),0.79,0.8,0.13,0.52,0.73,0.77,0.82,0.87,1,Effective reproduction no.,Likely decreasing,0.94
South Carolina,0.79 (0.67 -- 0.9),0.79,0.79,0.074,0.67,0.74,0.77,0.8,0.83,0.9,Effective reproduction no.,Decreasing,0.99
Minnesota,0.78 (0.64 -- 0.97),0.78,0.79,0.1,0.64,0.72,0.76,0.81,0.85,0.97,Effective reproduction no.,Decreasing,0.96
Washington,0.77 (0.48 -- 0.97),0.77,0.76,0.16,0.48,0.66,0.73,0.81,0.86,0.97,Effective reproduction no.,Decreasing,0.97
West Virginia,0.77 (0.6 -- 0.92),0.77,0.77,0.099,0.6,0.71,0.75,0.8,0.85,0.92,Effective reproduction no.,Decreasing,1
Massachusetts,0.75 (0.6 -- 0.92),0.75,0.75,0.1,0.6,0.69,0.72,0.77,0.8,0.92,Effective reproduction no.,Decreasing,0.98
Rhode Island,0.74 (0.57 -- 0.96),0.74,0.75,0.14,0.57,0.68,0.72,0.77,0.81,0.96,Effective reproduction no.,Decreasing,0.96
South Dakota,0.73 (0.53 -- 0.96),0.73,0.73,0.14,0.53,0.65,0.7,0.75,0.8,0.96,Effective reproduction no.,Decreasing,0.97
Illinois,0.7 (0.55 -- 0.86),0.7,0.7,0.095,0.55,0.64,0.67,0.72,0.76,0.86,Effective reproduction no.,Decreasing,1
Michigan,0.7 (0.46 -- 1.1),0.7,0.73,0.21,0.46,0.61,0.67,0.75,0.82,1.1,Effective reproduction no.,Likely decreasing,0.92
Northern Mariana Islands,0.39 (0.027 -- 1.2),0.39,0.48,0.45,0.027,0.18,0.3,0.49,0.68,1.2,Effective reproduction no.,Likely decreasing,0.92
Northern Mariana Islands,0 (0 -- 0),0,0,0,0,0,0,0,0,0,New confirmed cases by infection date,Likely decreasing,0.92
