Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Hackney,2 (1 -- 4),Likely decreasing,0.98 (0.78 -- 1.1),-0.0042 (-0.062 -- 0.024),-170 (29 -- -11)
Halton,2 (1 -- 4),Likely increasing,1 (0.92 -- 1.1),0.0042 (-0.022 -- 0.029),170 (24 -- -32)
Hammersmith and Fulham,1 (0 -- 2),Likely decreasing,0.99 (0.8 -- 1.1),-0.0038 (-0.054 -- 0.026),-180 (27 -- -13)
Hampshire,14 (7 -- 27),Likely decreasing,0.89 (0.65 -- 1.2),-0.031 (-0.1 -- 0.041),-22 (17 -- -6.8)
Haringey,3 (2 -- 6),Likely increasing,1 (0.88 -- 1.2),0.0066 (-0.035 -- 0.048),100 (14 -- -20)
Harrow,2 (1 -- 4),Likely decreasing,0.98 (0.92 -- 1.1),-0.0048 (-0.023 -- 0.022),-140 (32 -- -31)
Hartlepool,2 (1 -- 4),Likely increasing,1 (0.85 -- 1.2),0.012 (-0.042 -- 0.058),55 (12 -- -16)
Havering,1 (0 -- 3),Likely decreasing,0.98 (0.76 -- 1.1),-0.0057 (-0.069 -- 0.025),-120 (28 -- -10)
"Herefordshire, County of",3 (2 -- 5),Stable,1 (0.9 -- 1.1),0.0015 (-0.029 -- 0.031),470 (22 -- -24)
Hertfordshire,10 (5 -- 20),Likely decreasing,0.95 (0.72 -- 1.2),-0.015 (-0.08 -- 0.059),-47 (12 -- -8.7)
Hillingdon,4 (1 -- 16),Likely increasing,1.2 (0.92 -- 1.8),0.05 (-0.023 -- 0.2),14 (3.5 -- -30)
Hounslow,2 (1 -- 3),Stable,0.99 (0.91 -- 1.1),-0.002 (-0.024 -- 0.03),-340 (23 -- -29)
Isle of Wight,2 (0 -- 5),Stable,1 (0.6 -- 1.3),0.0022 (-0.12 -- 0.073),320 (9.5 -- -5.9)
Islington,2 (1 -- 5),Likely increasing,1 (0.8 -- 1.2),0.0088 (-0.058 -- 0.064),79 (11 -- -12)
Kensington and Chelsea,1 (0 -- 2),Likely decreasing,0.99 (0.89 -- 1.1),-0.004 (-0.031 -- 0.024),-170 (29 -- -23)
Kent,9 (3 -- 22),Likely decreasing,0.82 (0.55 -- 1.2),-0.05 (-0.13 -- 0.05),-14 (14 -- -5.2)
"Kingston upon Hull, City of",1 (0 -- 2),Likely decreasing,0.97 (0.75 -- 1.1),-0.0082 (-0.071 -- 0.04),-84 (17 -- -9.7)
Kingston upon Thames,1 (0 -- 3),Stable,1 (0.89 -- 1.2),0.0026 (-0.03 -- 0.064),260 (11 -- -23)
Kirklees,5 (2 -- 7),Likely decreasing,0.95 (0.77 -- 1),-0.014 (-0.064 -- 0.0062),-51 (110 -- -11)
Knowsley,3 (1 -- 5),Likely increasing,1 (0.89 -- 1.2),0.004 (-0.031 -- 0.045),170 (15 -- -22)
Lambeth,2 (1 -- 5),Stable,1 (0.91 -- 1.2),0.0021 (-0.025 -- 0.048),330 (15 -- -27)
Lancashire,14 (7 -- 24),Likely decreasing,0.9 (0.7 -- 1.1),-0.029 (-0.088 -- 0.023),-24 (30 -- -7.9)
Leeds,13 (5 -- 18),Stable,0.99 (0.76 -- 1.1),-0.0024 (-0.068 -- 0.019),-280 (36 -- -10)
Leicester,6 (3 -- 10),Stable,1 (0.81 -- 1.2),0.0017 (-0.054 -- 0.041),400 (17 -- -13)
Leicestershire,7 (3 -- 12),Stable,1 (0.8 -- 1.2),0.0021 (-0.058 -- 0.041),320 (17 -- -12)
Lewisham,3 (1 -- 6),Likely increasing,1 (0.8 -- 1.3),0.0095 (-0.056 -- 0.069),73 (10 -- -12)
Lincolnshire,11 (6 -- 18),Likely increasing,1 (0.88 -- 1.2),0.013 (-0.035 -- 0.052),51 (13 -- -20)
Liverpool,10 (7 -- 16),Likely increasing,1 (0.93 -- 1.1),0.0051 (-0.021 -- 0.04),130 (17 -- -34)
Luton,7 (3 -- 14),Likely increasing,1.1 (0.84 -- 1.4),0.03 (-0.045 -- 0.1),23 (6.9 -- -16)
Manchester,6 (3 -- 10),Likely decreasing,0.96 (0.8 -- 1.1),-0.01 (-0.056 -- 0.019),-69 (36 -- -12)
Medway,1 (0 -- 5),Likely increasing,1 (0.78 -- 1.3),0.0078 (-0.061 -- 0.087),89 (8 -- -11)
Merton,2 (1 -- 5),Likely increasing,1 (0.88 -- 1.2),0.01 (-0.033 -- 0.066),67 (10 -- -21)
Middlesbrough,6 (3 -- 10),Likely increasing,1 (0.88 -- 1.2),0.013 (-0.033 -- 0.061),55 (11 -- -21)
Milton Keynes,4 (2 -- 7),Likely increasing,1 (0.94 -- 1.2),0.0097 (-0.017 -- 0.049),72 (14 -- -41)
Newcastle upon Tyne,7 (4 -- 12),Stable,1 (0.82 -- 1.1),0.0018 (-0.05 -- 0.039),380 (18 -- -14)
Newham,3 (1 -- 5),Stable,1 (0.84 -- 1.1),0.00012 (-0.045 -- 0.039),6000 (18 -- -15)
Norfolk,5 (2 -- 13),Likely decreasing,0.84 (0.55 -- 1.2),-0.046 (-0.14 -- 0.046),-15 (15 -- -5.1)
North East Lincolnshire,0 (0 -- 1),Likely decreasing,0.94 (0.5 -- 1.1),-0.016 (-0.15 -- 0.02),-43 (34 -- -4.6)
North Lincolnshire,1 (0 -- 3),Likely decreasing,0.95 (0.56 -- 1.1),-0.015 (-0.13 -- 0.022),-47 (31 -- -5.3)
North Somerset,3 (2 -- 6),Likely increasing,1 (0.92 -- 1.1),0.0034 (-0.022 -- 0.036),200 (19 -- -32)
North Tyneside,4 (3 -- 7),Likely increasing,1 (0.92 -- 1.1),0.0049 (-0.023 -- 0.035),140 (20 -- -31)
North Yorkshire,9 (5 -- 12),Stable,1 (0.84 -- 1.1),0.0034 (-0.046 -- 0.025),200 (28 -- -15)
Northamptonshire,7 (2 -- 15),Stable,0.98 (0.62 -- 1.2),-0.0051 (-0.11 -- 0.063),-130 (11 -- -6.2)
Northumberland,5 (3 -- 8),Likely increasing,1 (0.93 -- 1.1),0.0046 (-0.019 -- 0.028),150 (25 -- -36)
Nottingham,2 (1 -- 4),Stable,1 (0.91 -- 1.1),-0.0011 (-0.024 -- 0.039),-630 (18 -- -29)
Nottinghamshire,10 (7 -- 15),Likely increasing,1 (0.93 -- 1.2),0.01 (-0.021 -- 0.043),69 (16 -- -33)
Oldham,3 (1 -- 5),Stable,1 (0.81 -- 1.1),0.0033 (-0.053 -- 0.035),210 (20 -- -13)
Oxfordshire,3 (1 -- 6),Likely decreasing,0.91 (0.64 -- 1),-0.025 (-0.11 -- 0.01),-28 (66 -- -6.5)
Peterborough,3 (0 -- 6),Stable,0.97 (0.57 -- 1.1),-0.0095 (-0.13 -- 0.036),-73 (19 -- -5.4)
Plymouth,4 (2 -- 8),Likely increasing,1 (0.85 -- 1.2),0.0077 (-0.041 -- 0.062),90 (11 -- -17)
Portsmouth,4 (1 -- 10),Stable,1 (0.7 -- 1.3),0.0051 (-0.088 -- 0.092),140 (7.6 -- -7.9)
Reading,1 (0 -- 4),Likely increasing,1 (0.88 -- 1.3),0.0077 (-0.033 -- 0.071),91 (9.8 -- -21)
Redbridge,2 (1 -- 3),Likely decreasing,0.98 (0.8 -- 1.1),-0.0053 (-0.059 -- 0.021),-130 (33 -- -12)
Redcar and Cleveland,3 (1 -- 5),Likely increasing,1 (0.91 -- 1.2),0.0098 (-0.026 -- 0.057),70 (12 -- -26)
Richmond upon Thames,1 (0 -- 2),Stable,1 (0.91 -- 1.2),0.0022 (-0.025 -- 0.047),310 (15 -- -27)
Rochdale,2 (1 -- 4),Likely increasing,1 (0.85 -- 1.1),0.0055 (-0.042 -- 0.04),130 (17 -- -17)
Rotherham,4 (2 -- 8),Stable,0.99 (0.76 -- 1.2),-0.0017 (-0.068 -- 0.051),-410 (14 -- -10)
Salford,2 (1 -- 4),Stable,1 (0.84 -- 1.1),0.0038 (-0.043 -- 0.037),180 (19 -- -16)
Sandwell,4 (2 -- 5),Likely decreasing,0.97 (0.9 -- 1),-0.0077 (-0.029 -- 0.004),-90 (170 -- -24)
Sefton,4 (3 -- 8),Likely increasing,1 (0.88 -- 1.2),0.0065 (-0.033 -- 0.05),110 (14 -- -21)
Sheffield,4 (0 -- 10),Likely decreasing,0.76 (0.41 -- 1),-0.067 (-0.18 -- 0.0071),-10 (98 -- -3.8)
Shropshire,4 (1 -- 9),Stable,0.98 (0.57 -- 1.2),-0.0066 (-0.12 -- 0.043),-100 (16 -- -5.6)
Slough,3 (1 -- 7),Likely increasing,1 (0.73 -- 1.2),0.009 (-0.077 -- 0.065),77 (11 -- -9)
Solihull,3 (2 -- 4),Likely decreasing,0.99 (0.91 -- 1.1),-0.0026 (-0.024 -- 0.019),-270 (36 -- -29)
Somerset,4 (1 -- 9),Likely decreasing,0.75 (0.48 -- 1),-0.07 (-0.15 -- 0.011),-9.9 (61 -- -4.5)
South Gloucestershire,5 (3 -- 9),Likely increasing,1 (0.89 -- 1.1),0.0042 (-0.03 -- 0.04),160 (17 -- -23)
South Tyneside,3 (1 -- 5),Stable,1 (0.84 -- 1.2),0.0035 (-0.045 -- 0.045),200 (16 -- -15)
Southampton,1 (0 -- 5),Likely decreasing,0.75 (0.43 -- 1.1),-0.071 (-0.17 -- 0.019),-9.8 (37 -- -4)
Southend-on-Sea,2 (1 -- 4),Likely increasing,1 (0.88 -- 1.2),0.006 (-0.034 -- 0.042),120 (16 -- -20)
Southwark,2 (1 -- 5),Stable,1 (0.88 -- 1.2),0.0015 (-0.035 -- 0.052),460 (13 -- -20)
St. Helens,2 (1 -- 5),Likely increasing,1 (0.9 -- 1.1),0.0044 (-0.026 -- 0.036),160 (19 -- -26)
Staffordshire,9 (4 -- 16),Likely decreasing,0.93 (0.72 -- 1.1),-0.02 (-0.081 -- 0.04),-34 (17 -- -8.5)
Stockport,6 (3 -- 9),Stable,1 (0.81 -- 1.1),0.00072 (-0.053 -- 0.018),970 (39 -- -13)
Stockton-on-Tees,4 (2 -- 8),Likely increasing,1 (0.86 -- 1.2),0.011 (-0.041 -- 0.051),65 (14 -- -17)
Stoke-on-Trent,4 (2 -- 6),Stable,1 (0.83 -- 1.1),0.0026 (-0.049 -- 0.028),270 (25 -- -14)
Suffolk,5 (1 -- 11),Likely decreasing,0.81 (0.54 -- 1.1),-0.052 (-0.14 -- 0.016),-13 (45 -- -5.1)
Sunderland,5 (2 -- 10),Stable,0.98 (0.7 -- 1.2),-0.0058 (-0.087 -- 0.046),-120 (15 -- -7.9)
Surrey,9 (3 -- 17),Likely decreasing,0.92 (0.65 -- 1.1),-0.022 (-0.1 -- 0.03),-31 (23 -- -6.8)
Sutton,2 (1 -- 4),Stable,1 (0.86 -- 1.1),0.0024 (-0.038 -- 0.035),280 (20 -- -18)
Swindon,6 (3 -- 9),Stable,1 (0.78 -- 1.1),0.0027 (-0.064 -- 0.022),260 (32 -- -11)
Tameside,5 (3 -- 9),Likely increasing,1 (0.95 -- 1.2),0.012 (-0.014 -- 0.054),59 (13 -- -49)
Telford and Wrekin,3 (1 -- 8),Likely increasing,1 (0.77 -- 1.2),0.0074 (-0.066 -- 0.064),94 (11 -- -11)
Thurrock,2 (1 -- 4),Likely increasing,1 (0.9 -- 1.2),0.0073 (-0.028 -- 0.048),95 (14 -- -24)
Torbay,1 (0 -- 2),Stable,1 (0.83 -- 1.2),0.00028 (-0.049 -- 0.042),2500 (17 -- -14)
Tower Hamlets,2 (1 -- 3),Stable,1 (0.86 -- 1.2),0.0017 (-0.04 -- 0.046),400 (15 -- -17)
Trafford,4 (2 -- 6),Stable,1 (0.86 -- 1.1),0.0011 (-0.039 -- 0.029),640 (24 -- -18)
Wakefield,3 (1 -- 5),Likely decreasing,0.9 (0.64 -- 1),-0.029 (-0.1 -- 0.0077),-24 (90 -- -6.7)
Walsall,5 (3 -- 8),Stable,1 (0.83 -- 1.1),0.0016 (-0.048 -- 0.024),430 (29 -- -14)
Waltham Forest,2 (1 -- 4),Stable,1 (0.82 -- 1.2),6e-04 (-0.05 -- 0.047),1200 (15 -- -14)
Wandsworth,3 (1 -- 7),Likely increasing,1.1 (0.9 -- 1.3),0.021 (-0.028 -- 0.086),34 (8 -- -25)
Warrington,3 (1 -- 5),Likely increasing,1 (0.88 -- 1.1),0.0062 (-0.035 -- 0.024),110 (29 -- -20)
Warwickshire,10 (5 -- 15),Likely increasing,1 (0.83 -- 1.1),0.0058 (-0.047 -- 0.039),120 (18 -- -15)
West Berkshire,1 (0 -- 2),Likely increasing,1 (0.89 -- 1.2),0.0048 (-0.03 -- 0.058),140 (12 -- -23)
West Sussex,10 (5 -- 18),Likely increasing,1.1 (0.84 -- 1.3),0.017 (-0.046 -- 0.07),42 (9.8 -- -15)
Westminster,1 (1 -- 3),Stable,1 (0.86 -- 1.1),-0.0014 (-0.04 -- 0.033),-510 (21 -- -17)
Wigan,5 (2 -- 12),Likely increasing,1.1 (0.77 -- 1.3),0.019 (-0.066 -- 0.093),36 (7.5 -- -10)
Wiltshire,7 (3 -- 11),Stable,1 (0.78 -- 1.1),0.0018 (-0.062 -- 0.026),370 (27 -- -11)
Windsor and Maidenhead,1 (0 -- 2),Likely increasing,1 (0.82 -- 1.2),0.005 (-0.052 -- 0.055),140 (13 -- -13)
Wirral,5 (3 -- 8),Stable,1 (0.87 -- 1.2),0.0045 (-0.037 -- 0.042),150 (16 -- -19)
Wokingham,1 (0 -- 3),Likely increasing,1 (0.88 -- 1.2),0.0058 (-0.033 -- 0.06),120 (12 -- -21)
Wolverhampton,4 (2 -- 9),Stable,1 (0.79 -- 1.3),0.0033 (-0.06 -- 0.071),210 (9.8 -- -12)
Worcestershire,10 (6 -- 17),Likely increasing,1.1 (0.91 -- 1.2),0.019 (-0.026 -- 0.053),36 (13 -- -27)
York,2 (1 -- 3),Likely increasing,1 (0.82 -- 1.1),0.0034 (-0.052 -- 0.027),200 (26 -- -13)
