region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases,prob_control
Narino,1.1 (0.85 -- 2),1.1,1.3,0.44,0.85,0.97,1,1.1,1.6,2,Effective reproduction no.,Likely increasing,0.34
Norte De Santander,1.1 (0.95 -- 1.4),1.1,1.1,0.13,0.95,1.1,1.1,1.2,1.2,1.4,Effective reproduction no.,Likely increasing,0.12
Putumayo,1.1 (0.86 -- 1.4),1.1,1.1,0.16,0.86,0.99,1,1.1,1.2,1.4,Effective reproduction no.,Likely increasing,0.28
Quindio,1.1 (0.98 -- 1.3),1.1,1.1,0.1,0.98,1.1,1.1,1.2,1.2,1.3,Effective reproduction no.,Likely increasing,0.082
Valle Del Cauca,1.1 (0.88 -- 1.3),1.1,1.1,0.11,0.88,0.98,1,1.1,1.1,1.3,Effective reproduction no.,Likely increasing,0.32
Vichada,1.1 (0.72 -- 1.5),1.1,1.1,0.22,0.72,0.92,1,1.1,1.2,1.5,Effective reproduction no.,Likely increasing,0.39
Atlantico,1 (0.81 -- 1.2),1,1,0.13,0.81,0.93,0.98,1,1.1,1.2,Effective reproduction no.,Stable,0.46
Bolivar,1 (0.82 -- 1.2),1,1,0.11,0.82,0.93,0.98,1,1.1,1.2,Effective reproduction no.,Stable,0.48
Caqueta,1 (0 -- 4),1,2,1,0,1,1,2,2,4,New confirmed cases by infection date,Likely decreasing,0.63
Choco,1 (0.73 -- 1.4),1,1,0.19,0.73,0.9,0.97,1.1,1.1,1.4,Effective reproduction no.,Stable,0.48
Vaupes,1 (0.76 -- 1.4),1,1,0.18,0.76,0.92,0.98,1.1,1.1,1.4,Effective reproduction no.,Stable,0.44
Caqueta,0.95 (0.74 -- 1.2),0.95,0.96,0.15,0.74,0.86,0.92,0.99,1.1,1.2,Effective reproduction no.,Likely decreasing,0.63
Caldas,0.9 (0.65 -- 1.2),0.9,0.92,0.17,0.65,0.8,0.86,0.95,1,1.2,Effective reproduction no.,Likely decreasing,0.72
Guaviare,0 (0 -- 3),0,1,1,0,0,0,0,1,3,New confirmed cases by infection date,Likely increasing,0.36
Vaupes,0 (0 -- 4),0,1,1,0,0,0,1,1,4,New confirmed cases by infection date,Stable,0.44
